symbol,fold,timeframe,start_date,end_date,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,blocked_1d,error
ADA-USD,1,1h,2026-03-07 22:00:00+00:00,2026-05-09 22:00:00+00:00,19,5,14,0.2631578947368421,0.7375343158080668,-363.09038744138525,-0.03630903874413852,-0.22926697639867422,0.0633098315499601,0,
BTC-USD,1,2h,2025-08-26 04:00:00+00:00,2026-01-04 10:00:00+00:00,36,9,27,0.25,0.8866377948551571,-311.82717377836525,-0.031182717377836525,-0.11181516484451372,0.08847504489507457,66,
BTC-USD,3,2h,2026-05-10 00:00:00+00:00,2026-09-12 18:00:00+00:00,19,9,10,0.47368421052631576,2.2473251078826917,1356.7608187782917,0.13567608187782917,0.6187922880315474,0.039972691655800474,47,
ETH-USD,3,1h,2026-07-11 11:00:00+00:00,2026-09-12 19:00:00+00:00,12,4,8,0.3333333333333333,1.002072554617564,1.597926302916676,0.0001597926302916676,0.011617817146744031,0.0673269998658352,58,
DOT-USD,1,1h,2026-03-07 22:00:00+00:00,2026-05-09 22:00:00+00:00,23,8,15,0.34782608695652173,1.3666541917852473,542.085397443092,0.0542085397443092,0.28640333513798477,0.04849054091919335,0,
ADA-USD,3,1h,2026-07-11 11:00:00+00:00,2026-09-12 19:00:00+00:00,15,8,7,0.5333333333333333,2.4161529599980525,1033.378967105822,0.1033378967105822,0.6087604872190459,0.028791628488844617,1,
DOT-USD,2,1h,2026-05-09 23:00:00+00:00,2026-07-11 10:00:00+00:00,20,7,13,0.35,1.2557412657803764,313.9237279410954,0.031392372794109544,0.19574312972528873,0.050139507494016536,0,
BTC-USD,0,2h,2025-04-23 04:00:00+00:00,2025-08-26 02:00:00+00:00,24,7,17,0.2916666666666667,1.1347943379405683,220.221510503834,0.0220221510503834,0.12340285775555203,0.05227428701113291,0,
ETH-USD,1,1h,2026-03-07 22:00:00+00:00,2026-05-09 22:00:00+00:00,14,4,10,0.2857142857142857,0.8295874890593421,-168.67940689641728,-0.016867940689641727,-0.11700291488946442,0.03940398999999998,140,
DOT-USD,0,1h,2026-01-04 10:00:00+00:00,2026-03-07 21:00:00+00:00,21,9,12,0.42857142857142855,1.85929670338338,1069.732434080859,0.10697324340808591,0.5212266928172373,0.03940399000000025,0,
ETH-USD,0,1h,2026-01-04 10:00:00+00:00,2026-03-07 21:00:00+00:00,20,8,12,0.4,1.5187525154898118,661.2320206597233,0.06612320206597233,0.3628099972290404,0.03940399000000008,138,
ADA-USD,0,1h,2026-01-04 10:00:00+00:00,2026-03-07 21:00:00+00:00,20,5,15,0.25,0.5929587955146844,-594.3771375380584,-0.05943771375380584,-0.41179765851096267,0.05943771375380584,174,
BTC-USD,2,2h,2026-01-04 12:00:00+00:00,2026-05-09 22:00:00+00:00,23,10,13,0.43478260869565216,2.1913375558240302,1650.0042688791782,0.16500042688791783,0.6677418136275498,0.03940399000000014,178,
ADA-USD,2,1h,2026-05-09 23:00:00+00:00,2026-07-11 10:00:00+00:00,12,9,3,0.75,5.600912499482187,1366.7812272647006,0.13667812272647006,0.8830197113737399,0.01629581549098479,170,
ETH-USD,2,1h,2026-05-09 23:00:00+00:00,2026-07-11 10:00:00+00:00,6,5,1,0.8333333333333334,7.21881286685361,665.8537058868969,0.0665853705886897,0.6753501737384221,0.01000000000000005,147,
ATOM-USD,3,1h,2026-07-11 11:00:00+00:00,2026-09-12 19:00:00+00:00,26,13,13,0.5,2.0212744395367648,1315.1545996321584,0.13151545996321584,0.6726139514039045,0.032700254126858494,0,
DOT-USD,3,1h,2026-07-11 11:00:00+00:00,2026-09-12 19:00:00+00:00,25,8,17,0.32,1.0572104544815384,94.15158017057183,0.009415158017057184,0.06494697388915877,0.08227828938481507,0,
ATOM-USD,1,1h,2026-03-07 22:00:00+00:00,2026-05-09 22:00:00+00:00,24,9,15,0.375,1.0539600360079158,81.99659505121053,0.008199659505121054,0.0627772126454585,0.03969024761098005,0,
ATOM-USD,2,1h,2026-05-09 23:00:00+00:00,2026-07-11 10:00:00+00:00,18,9,9,0.5,1.6373477469565803,590.9528492026366,0.059095284920263655,0.3989099179762082,0.03940398999999999,0,
ATOM-USD,0,1h,2026-01-04 10:00:00+00:00,2026-03-07 21:00:00+00:00,27,11,16,0.4074074074074074,1.285712410311872,476.4346026619278,0.04764346026619278,0.2683338409373548,0.05026823311529733,0,
